  30  ,2178.0808 ,Fe I ,NJLT94
  30  ,2259.5103 ,Fe I ,NJLT94
  30  ,2292.5249 ,Fe I ,NJLT94
  60  ,2298.1689 ,Fe I ,NJLT94
  30  ,2300.1418 ,Fe I ,NJLT94
  60  ,2327.3958 ,Fe II,NLTH91
  60  ,2331.3084 ,Fe II,NLTH91
 200  ,2332.7990 ,Fe II,NLTH91
 120  ,2338.0065 ,Fe II,NLTH91
 400 P,2343.4951 ,Fe II,NLTH91
  50  ,2343.9610 ,Fe II,NLTH91
  90  ,2344.2816 ,Fe II,NLTH91
 120  ,2348.1159 ,Fe II,NLTH91
 150  ,2348.3025 ,Fe II,NLTH91
 120  ,2359.1322 ,Fe II,NLTH91
  90  ,2359.9997 ,Fe II,NLTH91
  70  ,2360.2945 ,Fe II,NLTH91
  40  ,2363.8612 ,Fe II,NLTH91
 120  ,2364.8281 ,Fe II,NLTH91
  50  ,2365.7654 ,Fe II,NLTH91
  50  ,2368.5964 ,Fe II,NLTH91
  50  ,2369.9534 ,Fe II,NLTH91
  40  ,2373.6245 ,Fe I ,NJLT94
  60  ,2373.7357 ,Fe II,NLTH91
  40  ,2375.1940 ,Fe II,NLTH91
  70  ,2376.4294 ,Fe II,NLTH91
  50  ,2379.2765 ,Fe II,NLTH91
  70  ,2380.7616 ,Fe II,NLTH91
1000 P,2382.0376 ,Fe II,NLTH91
  40  ,2383.2452 ,Fe II,NLTH91
 200  ,2388.6289 ,Fe II,NLTH91
 700 P,2395.6254 ,Fe II,NLTH91
 200  ,2399.2413 ,Fe II,NLTH91
 500 P,2404.8858 ,Fe II,NLTH91
 150  ,2406.6612 ,Fe II,NLTH91
  50  ,2406.9761 ,Fe II,NLTH91
 200  ,2410.5192 ,Fe II,NLTH91
 120  ,2411.0677 ,Fe II,NLTH91
  90  ,2413.3104 ,Fe II,NLTH91
  50  ,2417.8707 ,Fe II,NLTH91
  40  ,2422.6882 ,Fe II,NLTH91
  90  ,2424.1456 ,Fe II,NLTH91
  70  ,2428.3638 ,Fe II,NLTH91
  70  ,2430.0783 ,Fe II,NLTH91
  50  ,2432.2612 ,Fe II,NLTH91
  40  ,2432.8732 ,Fe II,NLTH91
  90  ,2439.3014 ,Fe II,NLTH91
  40  ,2443.7100 ,Fe II,NLTH91
  60  ,2444.5154 ,Fe II,NLTH91
  60  ,2445.5732 ,Fe II,NLTH91
 150  ,2457.5891 ,Fe I ,NJLT94
  90  ,2458.7838 ,Fe II,NLTH91
  40  ,2460.4404 ,Fe II,NLTH91
  50  ,2461.2835 ,Fe II,NLTH91
  60  ,2461.8610 ,Fe II,NLTH91
