   80        ,2007.009         ,Ne II     ,P71
   80        ,2025.560         ,Ne II     ,P71
  150        ,2085.466         ,Ne II     ,P71
  200        ,2096.106         ,Ne II     ,P71
  120        ,2096.248         ,Ne II     ,P71
   80        ,2562.123         ,Ne II     ,P71
   90    w   ,2567.121         ,Ne II     ,P71
   80        ,2623.107         ,Ne II     ,P71
   80        ,2629.885         ,Ne II     ,P71
   90    w   ,2636.069         ,Ne II     ,P71
   80        ,2638.289         ,Ne II     ,P71
   80        ,2644.097         ,Ne II     ,P71
   80        ,2762.921         ,Ne II     ,P71
   90        ,2792.019         ,Ne II     ,P71
   80        ,2794.221         ,Ne II     ,P71
  100        ,2809.485         ,Ne II     ,P71
   80        ,2906.592         ,Ne II     ,P71
   80        ,2906.816         ,Ne II     ,P71
   90        ,2910.061         ,Ne II     ,P71
   90        ,2910.408         ,Ne II     ,P71
   80        ,2911.138         ,Ne II     ,P71
   80        ,2915.122         ,Ne II     ,P71
   80        ,2925.618         ,Ne II     ,P71
   80    w   ,2932.103         ,Ne II     ,P71
   80        ,2940.653         ,Ne II     ,P71
   90        ,2946.044         ,Ne II     ,P71
  150        ,2955.725         ,Ne II     ,P71
  150        ,2963.236         ,Ne II     ,P71
  150        ,2967.184         ,Ne II     ,P71
  100        ,2972.997         ,Ne II     ,P71
   30        ,2974.7189        ,Ne I      ,SS04
  100        ,2979.461         ,Ne II     ,P71
   30        ,2982.6696        ,Ne I      ,SS04
  150        ,3001.668         ,Ne II     ,P71
  120        ,3017.311         ,Ne II     ,P71
  300    P   ,3027.016         ,Ne II     ,P71
  300    P   ,3028.864         ,Ne II     ,P71
  100        ,3030.787         ,Ne II     ,P71
  120        ,3034.461         ,Ne II     ,P71
  100        ,3035.923         ,Ne II     ,P71
  100        ,3037.720         ,Ne II     ,P71
  100        ,3039.586         ,Ne II     ,P71
  100        ,3044.088         ,Ne II     ,P71
  100        ,3045.556         ,Ne II     ,P71
  120        ,3047.556         ,Ne II     ,P71
  100        ,3054.345         ,Ne II     ,P71
  100        ,3054.677         ,Ne II     ,P71
   30        ,3057.3907        ,Ne I      ,SS04
  100        ,3059.106         ,Ne II     ,P71
  100        ,3062.491         ,Ne II     ,P71
  100        ,3063.301         ,Ne II     ,P71
  100        ,3070.887         ,Ne II     ,P71
  100        ,3071.529         ,Ne II     ,P71
  100        ,3075.731         ,Ne II     ,P71
  120        ,3088.166         ,Ne II     ,P71
  100        ,3092.092         ,Ne II     ,P71
  120        ,3092.901         ,Ne II     ,P71
  100        ,3094.006         ,Ne II     ,P71
  100        ,3095.103         ,Ne II     ,P71
  100        ,3097.131         ,Ne II     ,P71
  100        ,3117.980         ,Ne II     ,P71
  120        ,3118.160         ,Ne II     ,P71
  300        ,3141.332         ,Ne II     ,P71
  100        ,3143.721         ,Ne II     ,P71
  100        ,3148.681         ,Ne II     ,P71
  100        ,3164.429         ,Ne II     ,P71
  100        ,3165.648         ,Ne II     ,P71
  100        ,3188.743         ,Ne II     ,P71
  120        ,3194.579         ,Ne II     ,P71
  500    P   ,3198.586         ,Ne II     ,P71
   60        ,3208.965         ,Ne II     ,P71
  120        ,3209.356         ,Ne II     ,P71
  120        ,3213.735         ,Ne II     ,P71
  150        ,3214.329         ,Ne II     ,P71
  150        ,3218.193         ,Ne II     ,P71
  120        ,3224.818         ,Ne II     ,P71
  120        ,3229.573         ,Ne II     ,P71
  200        ,3230.070         ,Ne II     ,P71
  120        ,3230.419         ,Ne II     ,P71
  120        ,3232.022         ,Ne II     ,P71
  150        ,3232.372         ,Ne II     ,P71
  100        ,3243.396         ,Ne II     ,P71
  100        ,3244.095         ,Ne II     ,P71
  100        ,3248.345         ,Ne II     ,P71
  100        ,3250.355         ,Ne II     ,P71
  150        ,3297.726         ,Ne II     ,P71
  150        ,3309.740         ,Ne II     ,P71
  300        ,3319.722         ,Ne II     ,P71
 1000    P   ,3323.745         ,Ne II     ,P71
  150        ,3327.153         ,Ne II     ,P71
  100        ,3329.158         ,Ne II     ,P71
  200        ,3334.836         ,Ne II     ,P71
  150        ,3344.395         ,Ne II     ,P71
  300        ,3345.453         ,Ne II     ,P71
  150        ,3345.829         ,Ne II     ,P71
  200        ,3355.016         ,Ne II     ,P71
  120        ,3357.820         ,Ne II     ,P71
  200        ,3360.597         ,Ne II     ,P71
  120        ,3362.161         ,Ne II     ,P71
  100        ,3362.707         ,Ne II     ,P71
  120        ,3367.218         ,Ne II     ,P71
   50        ,3369.8076        ,Ne I      ,SS04
   70        ,3369.9072        ,Ne I      ,SS04
  100        ,3371.799         ,Ne II     ,P71
  500    P   ,3378.216         ,Ne II     ,P71
  150        ,3388.417         ,Ne II     ,P71
  120        ,3388.945         ,Ne II     ,P71
  300        ,3392.798         ,Ne II     ,P71
  100        ,3404.822         ,Ne II     ,P71
  120        ,3406.947         ,Ne II     ,P71
  100        ,3413.148         ,Ne II     ,P71
  120        ,3416.914         ,Ne II     ,P71
  120        ,3417.688         ,Ne II     ,P71
   50        ,3417.9031        ,Ne I      ,SS04
    5        ,3418.0055        ,Ne I      ,SS04
  120        ,3428.687         ,Ne II     ,P71
   20        ,3447.7024        ,Ne I      ,SS04
   10        ,3454.1944        ,Ne I      ,SS04
  100        ,3456.610         ,Ne II     ,P71
  100        ,3459.321         ,Ne II     ,P71
   10        ,3460.5237        ,Ne I      ,SS04
   10        ,3464.3382        ,Ne I      ,SS04
   20        ,3466.5781        ,Ne I      ,SS04
   50        ,3472.5706        ,Ne I      ,SS04
  150        ,3479.519         ,Ne II     ,P71
  200        ,3480.718         ,Ne II     ,P71
  200        ,3481.933         ,Ne II     ,P71
   10        ,3498.0636        ,Ne I      ,SS04
   20        ,3501.2159        ,Ne I      ,SS04
   20        ,3515.1902        ,Ne I      ,SS04
  100    P   ,3520.4711        ,Ne I      ,SS04
  120        ,3542.847         ,Ne II     ,P71
  120        ,3557.805         ,Ne II     ,P71
  100        ,3561.198         ,Ne II     ,P71
  250        ,3568.502         ,Ne II     ,P71
  100        ,3574.181         ,Ne II     ,P71
  200        ,3574.612         ,Ne II     ,P71
   50        ,3593.5257        ,Ne I      ,SS04
   30        ,3593.6389        ,Ne I      ,SS04
   10        ,3600.1685        ,Ne I      ,SS04
   10        ,3633.6640        ,Ne I      ,SS04
  150        ,3643.927         ,Ne II     ,P71
  200        ,3664.073         ,Ne II     ,P71
   10        ,3682.2421        ,Ne I      ,SS04
   10        ,3685.7352        ,Ne I      ,SS04
  200        ,3694.213         ,Ne II     ,P71
    4        ,3701.2244        ,Ne I      ,SS04
  150        ,3709.622         ,Ne II     ,P71
  250        ,3713.079         ,Ne II     ,P71
  250        ,3727.107         ,Ne II     ,P71
  800    P   ,3766.259         ,Ne II     ,P71
 1000    P   ,3777.133         ,Ne II     ,P71
  100        ,3818.427         ,Ne II     ,P71
  120        ,3829.749         ,Ne II     ,P71
  150        ,4219.745         ,Ne II     ,P71
  100        ,4233.850         ,Ne II     ,P71
  120        ,4250.649         ,Ne II     ,P71
  120        ,4369.862         ,Ne II     ,P71
   70        ,4379.400         ,Ne II     ,P71
  150        ,4379.550         ,Ne II     ,P71
  100        ,4385.059         ,Ne II     ,P71
  200        ,4391.991         ,Ne II     ,P71
  150        ,4397.990         ,Ne II     ,P71
  150        ,4409.299         ,Ne II     ,P71
  100        ,4413.215         ,Ne II     ,P71
  100        ,4421.389         ,Ne II     ,P71
  100        ,4428.516         ,Ne II     ,P71
  100        ,4428.634         ,Ne II     ,P71
  150        ,4430.904         ,Ne II     ,P71
  150        ,4430.942         ,Ne II     ,P71
  120        ,4457.049         ,Ne II     ,P71
  100        ,4522.720         ,Ne II     ,P71
  100        ,4537.7545        ,Ne I      ,SS04
  100        ,4569.057         ,Ne II     ,P71
  150        ,4704.3949        ,Ne I      ,SS04
  120        ,4708.8594        ,Ne I      ,SS04
  100        ,4710.0650        ,Ne I      ,SS04
  150        ,4712.0633        ,Ne I      ,SS04
  150        ,4715.344         ,Ne I      ,SS04
   50        ,4752.7320        ,Ne I      ,SS04
  100        ,4788.9258        ,Ne I      ,SS04
   50        ,4790.2195        ,Ne I      ,SS04
  100        ,4827.338         ,Ne I      ,SS04
  100        ,4884.9170        ,Ne I      ,SS04
   50        ,5005.1587        ,Ne I      ,SS04
   50        ,5037.7512        ,Ne I      ,SS04
   50        ,5144.9384        ,Ne I      ,SS04
   60        ,5330.7775        ,Ne I      ,SS04
  100        ,5341.0938        ,Ne I      ,SS04
   60        ,5343.2834        ,Ne I      ,SS04
  200    P   ,5400.5618        ,Ne I      ,SS04
   50        ,5562.7662        ,Ne I      ,SS04
